Englisch;Deutsch;Extra;Type
the weather/it is changeable;das Wetter/es ist wechselhaft;;Noun
the storm,/bad weather;das Unwetter;;Noun
the chair;der Stuhl;;Noun
the table;der Tisch;;Noun
the cupboard;der Schrank;;Noun
the umbrella;der Regenschirm;;Noun
the lamp;die Lampe;;Noun
the mat;der Teppich/die Tapete;;Noun
the desk;der Pult;;Noun
the oven;der Backofen/der Kochherd/der Herd;;Noun
the window;das Fenster;;Noun
the curtain;der Vorhang;;Noun
the picture/painting;das Bild;;Noun
the plant;die Pflanze;;Noun
the vase;die Vase;;Noun
the shelf;das Regal;;Noun
the tap;der Wasserhahn;;Noun
the Tablecloth;die Tischdecke;;Noun
the chair (no back);der Hocker;;Noun
the back of the chair;die Lehne;;Noun
to lean (against something);sich anlehnen;lehnt an, lehnte an, hat angelehnt;Verb
the writing desk;der Schreibtisch;;Noun
the dishes;die Spühle;;Noun
the room;das Zimmer;;Noun
the floor;der Fussboden;;Noun
the blind(s);die Jalousie/die Storen;;Noun
the book;das Buch;;Noun
the comb;der kamm;;Noun
the weather sensitivity;die Wetterfühligkeit;;Noun
sensitive;sensibel;;Adjective
the weather event;das Wetterereignis;;Noun
Sensitive to weather events;Sensibel auf Wetterereignisse/Wetterfühlig sein;;Expression
the weather conditions;die Wetterbedingungen;;Noun
Weather change;die Wetterumschwung;Wetterumschwünge;Noun
the bonebreak;der Knochhenbruch;;Noun
the scar;die Narbe;;Noun
to hurt;schmerzen;schmerzt, schmerzte, hat geschmerzt;Verb
the mood;die Laune;;Noun
the pain;der schmerz;;Noun
the blood pressure;der Blutdruck;;Noun
the dizziness/dizzy feelings;die Schwindligkeitsgefühle;;Noun
I feel dizzy;mir ist Schwindlig;;Expression
the moodchange;die Stimmungsschwankung;;Noun
the body;der Körper;;Noun
the health problems;die esundtliche Probleme/Beschwerden;;Noun
the muscle cramps;die Muskelkrämpfe;;Noun
the cramp;der Krampf;;Noun
the muscle contraction/stiffening of muscles;die Verspannung;;Noun
to endure;vertragen;verträgt, vertrug, hat vertragen;Verb
the heat;die Hitze;;Noun
the cold;die Kälte;;Noun
to bake;backen;bäckt, backt, hat gebacken;Verb
to begin;beginnen;beginnt, begann, hat begonnen;Verb
to bite;beissen;beisst, biss, hat gebissen;Verb
to rescue;bergen;birgt, barg, hat geborgen;Verb
to hide;Verbergen;Verbirgt, Verbarg, hat Verborgen;Verb
to reflect;sich besinnen;bessint sich, besann sich, hat sich besonnen;Verb
to cheat;betrügen;betrügt, betrog, hat betrogen;Verb
to offer (advice);bieten;bietet, bot, hat geboten;Verb
to offer (a product);anbieten;bietet an, bot an, hat angeboten;Verb
to forbid;Verbieten;Verbietet, Verbot, hat Verboten;Verb
to bind (a book);binden;bindet, band, hat gebunden;Verb
to  bind (a wound/person);Verbinden;Verbindet, Verband, hat Verbunden;Verb
to ask/plea;bitten;bittet, bat, hat gebeten;Verb
blow (the wind);blasen;bläst, blies, hat geblasen;Verb
to blow out (a candle);ausblasen;bläst aus, blies aus, hat ausgeblasen;Verb
to stay;bleiben;bleibt, blieb, ist geblieben;Verb
to roast;braten;brät, briet, hat gebraten;Verb
to sear/fry;anbraten;brät an, briet an, hat angebraten;Verb
to break (material);brechen;bricht, brach, ist gebrochen;Verb
to halt (an education);abbrechen;bricht ab, brach ab, hat abgebrochen;Verb
to erupt (a plague/sickness);ausbrechen;bricht aus, brach aus, ist ausgebrochen;Verb
to interrupt;unterbrechen;unterbricht, unterbrach, hat unterbrochen;Verb
to break (e.g., a glass);zerbrechen;zerbricht, zerbrach, ist zerbrochen;Verb
to crumble (under stress);zusammenbrechen;bricht zusammen, brach zusammen, ist zusammengebrochen;Verb
to burn (wood, passive);brennen;brennt, brannte, hat gebrannt;Verb
to burn down (the house);abbrennen;brennt ab, brannte ab, ist abgebrannt;Verb
to burn (something, active);Verbrennen;Verbrennt, Verbrannte, ist Verbrannt;Verb
to bring (something to someone);bringen;bringt, brachte, hat gebracht;Verb
to provide (a proof/document);erbringen;erbringt, erbrachte, hat erbracht;Verb
to spend (time);zerbringen;zerbringt, zerbrachte, hat zerbracht;Verb
to complete (a task/objective);vollbringen;vollbringt, vollbrachte, hat vollbracht;Verb
to think (about something/someone);denken;denkt, dachte, hat gedacht;Verb
to come up with;sich ausdenken;denkt sich aus, dachte sich aus, hat sich ausgedacht;Verb
to consider/think about;nachdenken;denkt nach, dachte nach, hat nachgedacht;Verb
to consider/ponder (a decision);überdenken;überdenkt, überdachte, hat überdacht;Verb
to come up (a rumour);dringen;dringt, drang, hat gedrungen;Verb
to break in/infiltrate;eindringen;dringt ein, drang ein, ist eingedrungen;Verb
to recommend;empfehlen;empfehlt, empfahl, hat empfohlen;Verb
to decide (for someone/for an education);sich entscheiden;entscheidet sich, entschied sich, hat sich entschieden;Verb
to get scared/frightened;erschrecken;erschrickt, erschrak, ist erschrocken;Verb
to eat (not fressen);essen;isst, ass, hat gegessen;Verb
to ingest;zu sich nehmen;nehmt zu sich, nahm zu sich, zu sich genommen;Verb
limb pain (pl);Gliederschmerzen;;Noun
the sun;die Sonne;;Noun
the ray of sun/sunbeam;der Sonnestrahl;;Noun
the sun shines;die Sonne scheint;;Expression
the cloud;die Wolke;;Noun
It is (a bit) cloudy;Es ist (leicht) bewölkt;;Expression
the fog;der Nebel;;Noun
foggy;Neblig;;Adjective
the thermometer;das thermometer;;Noun
cloudy (4 variants);bedeckt/bewölkt/wölkig/grau;;Adjective
the humidity;die Luftfeuchtigkeit;;Noun
humid;schwul;;Adjective
the thunderstorm;das Gewitter;;Noun
to thunderstorm;gewittern;gewittert, gewitterte, hat gewittert;Verb
the lightning;der Blitz;;Noun
to lightning;Blitzen;blitzt, blitzte, hat geblitzt;Verb
the thunder;der Donner;;Noun
to thunder;donnern;donnert, donnerte, hat gedonnert;Verb
warm;warm;;Adjective
hot;heiss;;Adjective
cold;kalt;;Adjective
It is 0 degrees;Es hat 0 Grad;;Expression
the high pressure area (short and long);das Hoch/Hochdruckgebiet;;Noun
the low pressure area (short and long);das Tief/Tiefdrückgebiet;;Noun
the precipitation;der Niederschlag;;Noun
the weather prognosis (3 forms);die Wettervorhersage/die Wetterprognose/der Wetterbericht;;Noun
the wind;der Wind;;Noun
windy;windig;;Adjective
the storm;der Sturm;;Noun
to storm;sturmen;stürmte, stürmte, hat gestürmt;Verb
stormy;stürmisch;;Adjective
the hail;der Hagel;;Noun
to blow away (the wind);fegen;fegt, fegte, hat gefegt;Verb
the tornado (4);der Orkan/der Wirbelsturm/der Taifun/der tornado;;Noun
the breeze;die Bise;;Noun
the föhn;der Föhn;;Noun
to hail;hageln;hagelt, hagelte, hat gehagelt;Verb
the rain;der Regen;;Noun
to rain;regnen;regnet, regnete, hat geregnet;Verb
to start to rain;tröpfeln;tröpfelt, tröpfelte, hat getröpfelt;Verb
to rain lightly;nieseln;nieselt, nieselte, hat genieselt;Verb
to rain strongly/to pour;giessen;giesst, goss, hat gegossen;Verb
the rain falls;der Regen fällt;;Expression
wet;nass;;Adjective
wetness;die Nassigkeit;;Noun
the snow;der Schnee;;Noun
the snowflake;die Schneeflocke;;Noun
to snow;schneien;schneit, schneite, hat geschneit;Verb
slippery/icy;glatt;;Adjective
to complain;jammern;jammert, jammert, hat gejammert;Verb
to drive;fahren;fährt, fuhr, ist gefahren;Verb
to experience;erfahren;erfährt, erfuhr, hat erfahren;Verb
to drive away;wegfahren;fährt weg, fuhr weg, ist weggefahren;Verb
to drive around/avoid;umfahren;umfährt, umfuhr, hat umfahren;Verb
to drive over;umfahren;fährt um, fuhr um, hat umgefahren;Verb
to fall;fallen;fällt, fiel, ist gefallen;Verb
to attack;anfallen;fällt an, fiel an, ist angefallen;Verb
to notice (something/someone);auffallen;fällt auf, fiel auf, ist aufgefallen;Verb
to go out (power);ausfallen;fällt aus, field aus, ist ausgefallen;Verb
to fail (an exam);durchfallen;fällt durch, fiel durch, ist durchgefallen;Verb
to come up with (a solution);einfallen;fällt ein, fiel ein, ist eingefallen;Verb
to like (someone/something);gefallen;gefällt, gefiel, hat gefallen;Verb
to dislike (someone/something);misfallen;misfällt, misfiel, hat misfallen;Verb
to be captivated by (someone/something);verfallen;verfällt, verfiel, hat verfallen;Verb
to decay (material);zerfallen;zerfällt, zerfiel, ist zerfallen;Verb
to catch;fangen;fängt, fing, hat gefangen;Verb
to receive (someone);empfangen;epmfängt, empfing, hat empfangen;Verb
to find;finden;findet, fand, hat gefunden;Verb
to find yourself (in a difficult position);sich befinden;befindet sich, befand sich, hat sich befunden;Verb
to experience (pain);empfinden;empfindet, empfand, hat empfunden;Verb
to invent (a device);erfinden;erfinden, erfand, hat erfunden;Verb
to discover (during an investigation);herausfinden;findet heraus, fand heraus, hat herausgefunden;Verb
to fly;fliegen;fliegt, flog, hat geflogen;Verb
to fly over/accross (a text, the ocean);überfliegen;überfliegt, überflog, hat überflogen;Verb
to flee;fliehen;flieht, floh, ist geflohen;Verb
to flow (water);fliessen;fliesst, floss, ist geflossen;Verb
to eat (not essen);fressen;frisst, frass, hat gefressen;Verb
to freeze;frieren;friert, fror, hat gefroren;Verb
to give;geben;gibt, gab, hat gegeben;Verb
to hand over (a vote);abgeben;gibt ab, gab ab, hat abgegeben;Verb
to indicate/specify (personal data);angeben;gibt an, gab an, hat angegeben;Verb
to give up (a project);aufgeben;gibt auf, gab auf, hat aufgegeben;Verb
to show/demonstrate (the investigation shows);ergeben;ergibt, ergab, hat ergeben;Verb
to surrenden oneself to;sich hingeben;gibt sich hin, gab sich hin, hat sich hingegeben;Verb
to give in to;nachgeben;gibt nach, gab nach, hat nachgegeben;Verb
to pass on (knowledge);weitergeben;gibt weiter, gab weiter, hat weitergegeben;Verb
to reproduce (a text);wiedergeben;gibt wieder, gab wieder, hat wiedergegeben;Verb
to admit to;zugeben;gibt zu, gab zu, hat zugegeben;Verb
to go;gehen;geht, ging, ist gegangen;Verb
to assume (something);ausgehen;geht aus, ging aus, ist ausgegangen;Verb
to make/commit (a mistake);begehen;begeht, beging, hat begangen;Verb
to enter into/undertake (a risk);eingehen;geht ein, ging ein, ist eingegangen;Verb
to double-cross/betray;hintergehen;hintergeht, hinterging, ist hintergangen;Verb
to pursue/investigate;nachgehen;geht nach, ging nach, ist nachgegangen;Verb
to pass (someone) over/by;übergehen;geht über, ging über, hat übergangen;Verb
to skip/proceed to (the next point);übergehen;geht über, ging über, ist übergangen;Verb
to avoid/circumvent (by chance);umgehen;geht um, ging um, ist umgegangen;Verb
to pass (the time);vergehen;vergeht, verging, ist vergangen;Verb
to act (against something/someone);vergehen;geht vor, ging vor, ist vorgegangen;Verb
